                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6644,                 5.5495,                 1.7108,                0.34273,                0.05955,                0.07203,                0.03819,                 1.6375,                 3.9433,                 1.7871,                0.07027,              0.0033033,              0.0033033
                      1,                 1.1935,                 2.4926,                 1.3137,                0.42315,                0.45161,                 0.4366,                0.27639,                 1.3357,                 2.1105,                 1.5495,               0.040205,              0.0065709,              0.0065709
                      2,                 1.1465,                  1.928,                 1.2967,                0.61496,                0.34909,                 0.4084,                0.25275,                 1.5472,                 2.5356,                 1.8885,               0.010073,              0.0097726,              0.0097726
                      3,                 1.1673,                 1.6837,                 1.3305,                0.41528,                0.51404,                0.50056,                0.27762,                 1.6326,                 1.8577,                 2.1086,               0.009703,               0.009703,               0.009703
                      4,                 1.1746,                 1.5817,                 1.3754,                0.38595,                0.33668,                0.35253,                0.17224,                 1.9677,                 2.6539,                 2.4576,               0.009703,               0.009703,               0.009703
                      5,                 1.1455,                 1.4035,                 1.3506,                 0.4185,                0.43633,                0.44954,                0.25774,                 1.7477,                 2.5605,                 2.0201,               0.009604,               0.009604,               0.009604
                      6,                 1.1308,                 1.3275,                 1.3187,                0.56058,                0.60677,                0.62003,                0.32918,                 1.8599,                  1.783,                 2.1512,               0.009505,               0.009505,               0.009505
                      7,                 1.1175,                 1.2097,                 1.3228,                 0.5781,                0.54021,                0.61374,                0.30713,                  1.992,                 1.9694,                 2.4252,               0.009406,               0.009406,               0.009406
                      8,                 1.1286,                 1.1961,                 1.3433,                0.48757,                 0.6474,                0.63027,                0.38622,                 1.4376,                 1.7056,                 1.8126,               0.009307,               0.009307,               0.009307
                      9,                 1.0778,                 1.1235,                 1.3088,                0.72809,                0.59231,                0.66508,                0.38883,                 1.4973,                 1.6057,                 1.8781,               0.009208,               0.009208,               0.009208
